批次编号,时间,产品等级,产线,班次,反应器温度,反应器压力,进料流量,催化剂活性,pH值,杂质浓度,能耗,产能,收率,粘度,水分,运营成本指数,运行工况
B01051,2025-12-16 16:00,Grade_A,Line_1,day,194.39,13.76,43.84,0.827,7.36,16.1,1068.0,12.2,94.3,205.2,0.085,0.88,normal
B01074,2025-12-11 14:00,Grade_A,Line_1,day,202.2,14.9,51.8,0.946,7.28,14.2,1062.3,11.04,96.15,198.2,0.147,0.984,normal
B01168,2025-03-21 06:00,Grade_A,Line_2,day,215.74,19.61,64.0,0.824,6.66,43.1,1307.4,14.84,91.26,239.5,0.173,1.22,high_load
B01159,2025-03-12 14:00,Grade_A,Line_2,day,221.98,19.48,59.33,0.874,6.51,43.4,1371.3,14.35,94.0,228.7,0.182,1.171,high_load
B01360,2025-10-17 22:00,Grade_C,Line_3,night,173.99,11.01,28.63,0.568,6.43,105.0,826.6,5.34,73.09,194.7,0.437,1.405,startup_transition
B01349,2025-09-06 22:00,Grade_C,Line_3,night,146.65,10.73,31.49,0.581,6.28,78.7,858.0,4.39,76.2,152.6,0.534,1.371,startup_transition
B01175,2025-04-28 14:00,Grade_A,Line_2,day,228.02,17.98,63.02,0.81,6.58,20.2,1241.0,16.52,90.28,251.7,0.207,1.136,high_load
B01098,2025-01-07 18:00,Grade_A,Line_1,day,197.1,14.01,51.58,0.879,7.29,22.2,1096.8,11.25,96.58,181.6,0.151,1.048,normal
B01079,2025-12-16 06:00,Grade_A,Line_1,day,186.01,13.33,51.89,0.922,6.92,22.1,1019.8,12.76,97.25,189.3,0.157,1.008,normal
B01257,2025-06-26 10:00,Grade_B,Line_1,day,184.79,13.05,35.88,0.573,6.64,53.2,1243.1,8.15,78.38,256.0,0.295,1.154,catalyst_fade
B01248,2025-06-17 14:00,Grade_B,Line_1,day,180.38,11.64,35.2,0.606,6.74,35.4,1232.3,8.94,84.01,240.7,0.27,1.392,catalyst_fade
B01013,2025-10-06 06:00,Grade_A,Line_1,day,196.77,12.92,44.2,0.829,7.18,11.9,1083.0,13.58,94.28,189.5,0.147,0.893,normal
B01260,2025-07-01 22:00,Grade_B,Line_1,night,175.38,10.9,44.85,0.492,6.22,57.7,1074.6,9.13,85.92,270.0,0.348,1.381,catalyst_fade
B01228,2025-05-25 18:00,Grade_B,Line_1,day,177.73,10.63,44.49,0.608,6.87,64.2,1084.8,9.91,84.94,314.3,0.377,1.217,catalyst_fade
B01048,2025-11-13 22:00,Grade_A,Line_1,night,198.84,13.22,47.82,0.882,7.12,15.2,1054.3,11.99,96.81,190.8,0.105,0.874,normal
B01104,2025-01-13 00:00,Grade_A,Line_1,night,189.68,12.96,51.66,0.922,7.34,11.3,1042.1,12.71,95.76,210.8,0.158,0.951,normal
B01020,2025-11-13 10:00,Grade_A,Line_1,day,198.43,13.2,45.16,0.918,6.84,15.8,1099.7,13.99,94.29,188.5,0.107,1.037,normal
B01192,2025-04-17 14:00,Grade_A,Line_2,day,230.14,18.28,61.92,0.828,6.6,44.5,1217.3,15.72,93.71,230.9,0.267,1.213,high_load
B01058,2025-12-23 18:00,Grade_A,Line_1,day,198.4,15.43,45.3,0.91,6.97,24.1,1066.4,12.65,95.82,192.6,0.112,1.044,normal
B01090,2025-01-27 00:00,Grade_A,Line_1,night,193.28,12.86,47.12,0.865,6.87,19.5,1026.8,12.58,95.23,188.8,0.178,0.861,normal
B01373,2025-10-02 14:00,Grade_C,Line_3,day,160.87,8.92,20.39,0.566,6.78,59.4,952.3,5.88,76.04,161.0,0.397,1.49,startup_transition
B01269,2025-07-10 16:00,Grade_B,Line_1,day,188.1,10.05,43.68,0.555,6.72,67.6,1094.8,9.87,86.73,281.5,0.358,1.335,catalyst_fade
B01111,2025-02-20 18:00,Grade_A,Line_1,day,200.77,13.38,49.33,0.902,7.26,20.5,979.9,11.13,96.18,212.5,0.098,1.006,normal
B01155,2025-03-08 14:00,Grade_A,Line_2,day,230.39,18.93,59.15,0.828,6.9,28.0,1219.4,14.43,91.96,213.3,0.189,1.062,high_load
B01232,2025-06-01 22:00,Grade_B,Line_1,night,182.02,11.5,43.29,0.608,6.6,69.1,1095.1,8.35,85.99,242.7,0.224,1.228,catalyst_fade
B01191,2025-04-16 08:00,Grade_A,Line_2,day,220.98,19.98,65.08,0.781,6.99,34.7,1230.6,16.13,91.8,210.0,0.168,1.091,high_load
B01122,2025-02-03 18:00,Grade_A,Line_2,day,226.06,17.8,63.84,0.795,7.03,39.5,1297.2,14.55,93.8,226.0,0.268,1.061,high_load
B01255,2025-06-24 08:00,Grade_B,Line_1,day,184.44,10.78,36.2,0.586,6.57,53.6,1224.2,7.45,87.92,267.4,0.417,1.418,catalyst_fade
B01045,2025-11-10 10:00,Grade_A,Line_1,day,199.68,15.86,44.7,0.925,7.12,16.2,998.4,13.19,95.07,214.1,0.163,0.867,normal
B01212,2025-05-09 16:00,Grade_A,Line_2,day,218.18,18.21,55.1,0.776,6.84,27.6,1293.2,15.39,91.55,229.6,0.25,1.089,high_load
B01140,2025-03-21 14:00,Grade_A,Line_2,day,211.31,17.65,64.33,0.763,6.96,20.1,1276.6,16.79,90.44,256.1,0.264,1.145,high_load
B01017,2025-10-10 22:00,Grade_A,Line_1,night,190.3,15.14,46.55,0.875,7.37,24.9,1020.0,13.16,94.62,191.9,0.177,0.966,normal
B01364,2025-10-21 16:00,Grade_C,Line_3,day,140.48,10.78,21.67,0.64,6.02,64.6,896.8,4.82,73.9,165.5,0.421,1.592,startup_transition
B01162,2025-03-15 22:00,Grade_A,Line_2,night,224.24,16.98,62.16,0.873,6.7,39.1,1262.4,16.17,92.44,227.6,0.245,1.12,high_load
B01362,2025-10-19 22:00,Grade_C,Line_3,night,151.32,11.7,21.34,0.684,6.42,74.4,857.7,6.38,65.41,168.3,0.547,1.546,startup_transition
B01158,2025-03-11 08:00,Grade_A,Line_2,day,233.06,19.39,56.2,0.844,6.61,26.7,1304.9,15.81,93.24,211.3,0.249,1.195,high_load
B01060,2025-12-25 10:00,Grade_A,Line_1,day,203.55,13.75,48.98,0.836,7.38,18.4,963.1,11.48,96.2,202.1,0.089,1.048,normal
B01305,2025-08-18 08:00,Grade_B,Line_1,day,185.29,11.12,36.5,0.481,6.62,71.8,1182.2,8.24,81.3,249.1,0.355,1.294,catalyst_fade
B01096,2025-01-05 18:00,Grade_A,Line_1,day,202.28,14.51,43.51,0.829,7.07,13.1,969.4,11.17,96.03,192.4,0.125,0.861,normal
B01200,2025-05-25 08:00,Grade_A,Line_2,day,217.83,19.52,56.78,0.851,6.95,23.3,1378.4,14.43,91.18,200.5,0.235,1.138,high_load
B01311,2025-08-24 22:00,Grade_C,Line_3,night,152.27,11.22,33.62,0.717,6.58,79.8,845.8,7.06,80.47,155.0,0.45,1.517,startup_transition
B01293,2025-08-06 16:00,Grade_B,Line_1,day,187.13,11.13,44.27,0.526,6.78,36.4,1081.3,7.66,85.47,303.7,0.39,1.238,catalyst_fade
B01085,2025-01-22 08:00,Grade_A,Line_1,day,201.64,12.37,42.97,0.916,7.29,17.5,1025.6,12.68,95.32,184.9,0.115,0.983,normal
B01274,2025-07-15 18:00,Grade_B,Line_1,day,189.32,10.46,42.59,0.494,6.44,72.3,1242.9,7.88,83.22,296.2,0.229,1.199,catalyst_fade
B01321,2025-09-06 14:00,Grade_C,Line_3,day,163.69,8.92,24.74,0.741,6.52,50.7,949.8,4.99,66.58,190.4,0.505,1.33,startup_transition
B01193,2025-04-18 10:00,Grade_A,Line_2,day,234.07,19.14,66.94,0.879,7.02,23.2,1349.2,14.75,92.27,249.7,0.249,1.185,high_load
B01174,2025-04-27 14:00,Grade_A,Line_2,day,224.3,16.68,59.95,0.768,6.68,32.3,1164.6,15.3,90.53,229.1,0.16,1.1,high_load
B01016,2025-10-09 08:00,Grade_A,Line_1,day,186.01,16.0,50.36,0.946,7.36,22.4,949.9,12.46,94.85,196.0,0.086,0.926,normal
B01144,2025-03-25 10:00,Grade_A,Line_2,day,210.35,17.35,58.84,0.838,6.62,35.3,1296.9,15.22,90.57,219.7,0.202,1.069,high_load
B01077,2025-12-14 22:00,Grade_A,Line_1,night,196.75,14.91,50.85,0.905,7.3,18.5,1089.0,11.84,96.76,188.7,0.124,0.897,normal
B01034,2025-11-27 14:00,Grade_A,Line_1,day,188.52,15.83,47.18,0.827,6.95,22.4,1002.2,13.4,96.67,219.5,0.14,1.04,normal
B01182,2025-04-07 10:00,Grade_A,Line_2,day,218.71,17.37,65.2,0.818,6.71,22.4,1316.1,15.36,88.4,202.7,0.242,1.055,high_load
